1,Servicio de Limpieza,200
2,Catering,500
3,Decoracion,300
4,Fotografia Profesional,400
5,Seguridad y Vigilancia,350
6,Transporte de Invitados,250
7,Equipo de Sonido,450
8,Iluminacion Especial,380
9,Servicio de DJ,320
10,Alquiler de Mobiliario,600
11,Decoracion Floral,420
12,Servicio de Bar,480
13,Animacion y Entretenimiento,350
14,Servicio de Valet Parking,300
15,Coordinacion de Eventos,700
16,Servicio de Video y Proyeccion,400
17,Servicio de Maquillaje y Peluqueria,250
18,Alquiler de Escenarios,550
19,Servicio de Traduccion,320
20,Marketing y Publicidad,380
21,Servicio de Registro y Acreditacion,300
22,Servicio de Produccion Audiovisual,600
23,Servicio de Streaming en Vivo,450
24,Servicio de Seguro de Eventos,400
25,Servicio de Carpinteria y Montaje,350
26,Servicio de Reciclaje y Sustentabilidad,320
27,Servicio de Mantenimiento,280
28,Servicio de Traduccion de Senias,350
29,Servicio de Escenografia,500
30,Servicio de Produccion de Audio,420
31,Servicio de Diseño Grafico,380
32,Servicio de Asesoria de Imagen,300
33,Servicio de Coaching Personal,350
34,Servicio de Seguridad Cibernetica,450
35,Servicio de Consultoria Legal,400
36,Servicio de Fotocopiado,250
37,Servicio de Teleconferencia,320
38,Servicio de Espacios Virtuales,380
39,Servicio de Asistencia Tecnica,300
40,Servicio de Servidores,500
41,Servicio de Backup y Recuperacion,450
42,Servicio de Capacitacion,320
43,Servicio de Consultoria en Finanzas,380
44,Servicio de Consultoria en Marketing,300
45,Servicio de Consultoria en Recursos Humanos,350
46,Servicio de Consultoria en Tecnologia,420
47,Servicio de Consultoria en Logistica,280
48,Servicio de Consultoria en Salud,350
49,Servicio de Consultoria en Educacion,400
50,Servicio de Consultoria en Ingenieria,450
